"","time_step","low_marsh_area","high_marsh_area","total_marsh_area","upland_extent","marsh_encroach_area","fiddler_crabs","sea_level_rise"
"58",15.25,6731.528306,33414.6363,40146.16461,2394.050705,2.55421881,30.82261878,2.862838456
"59",15.5,6728.146111,33420.80721,40148.95332,2393.945656,2.567477213,31.43373871,2.863237206
"60",15.75,6724.811794,33426.94603,40151.75782,2393.840588,2.580263856,32.04123275,2.863635956
"61",16,6721.526128,33433.05279,40154.57892,2393.735502,2.592595551,32.65733386,2.864034706
"62",16.25,6718.289308,33439.12755,40157.41685,2393.630397,2.604488515,33.2978872,2.864433456
"63",16.5,6715.101985,33445.17032,40160.27231,2393.525273,2.615958389,33.93353965,2.864832206
"64",16.75,6711.963967,33451.18116,40163.14513,2393.420131,2.627020257,34.56111745,2.865230956
"65",17,6708.876796,33457.16011,40166.0369,2393.31497,2.637688668,35.18171402,2.865629706
"66",17.25,6705.841068,33463.10719,40168.94826,2393.209791,2.647977655,35.80552947,2.86600752
"67",17.5,6702.855362,33469.02394,40171.8793,2393.104595,2.657900286,36.42711476,2.866380682
"68",17.75,6699.919226,33474.91071,40174.82994,2392.999381,2.667469533,37.04010369,2.866753844
"69",18,6697.032324,33480.76756,40177.79988,2392.894151,2.676698012,37.62784558,2.867127005
"70",18.25,6694.195427,33486.59452,40180.78994,2392.788903,2.68559789,38.20931806,2.867492316
"71",18.5,6691.408557,33492.39218,40183.80074,2392.683639,2.69418073,38.79701624,2.867836691
"72",18.75,6688.67042,33498.16208,40186.8325,2392.57836,2.702457404,39.39868727,2.868181066
"73",19,6685.981482,33503.90424,40189.88572,2392.473065,2.710438854,40.00339904,2.868525441
"74",19.25,6683.341807,33509.61872,40192.96052,2392.367755,2.718135633,40.59997504,2.868869816
"75",19.5,6680.752155,33515.30555,40196.05771,2392.262429,2.725557917,41.21085609,2.869214191
"76",19.75,6678.21456,33520.9648,40199.17936,2392.157089,2.732715522,41.83668868,2.869558566
"77",20,6675.729587,33526.5965,40202.32609,2392.051732,2.73961791,42.47816368,2.869902941
"78",20.25,6673.29783,33532.2007,40205.49853,2391.946361,2.746274209,43.13586266,2.870247316
"79",20.5,6670.919904,33537.77747,40208.69737,2391.840974,2.752693221,43.81049214,2.870591691
"80",20.75,6668.598162,33543.32685,40211.92501,2391.735572,2.758883434,44.5029217,2.870936066
"81",21,6666.334836,33548.84889,40215.18373,2391.630154,2.764853032,45.21432984,2.871280441
"82",21.25,6664.13074,33554.34366,40218.4744,2391.524722,2.770609909,45.94549714,2.871624816
"83",21.5,6661.986722,33559.81122,40221.79794,2391.419273,2.776161678,46.69724744,2.871969191
"84",21.75,6659.904457,33565.25163,40225.15608,2391.31381,2.781515677,47.47072186,2.872313566
"85",22,6657.888276,33570.66495,40228.55322,2391.208331,2.786678987,48.26726286,2.872657941
"86",22.25,6655.939297,33576.05125,40231.99055,2391.102837,2.791658431,49.08803744,2.873002316
"87",22.5,6654.058698,33581.41061,40235.4693,2390.997328,2.796460594,49.93415812,2.873346691
"88",22.75,6652.249547,33586.74309,40238.99264,2390.891803,2.801091822,50.80706492,2.873690569
"89",23,6650.517018,33592.04882,40242.56583,2390.786263,2.805558226,51.70845225,2.874029471
"90",23.25,6648.862335,33597.32821,40246.19055,2390.680708,2.809865608,52.63976146,2.874368374
"91",23.5,6647.287153,33602.58137,40249.86853,2390.575138,2.814019666,53.60249592,2.874707277
"92",23.75,6645.800223,33607.80838,40253.6086,2390.469553,2.818025892,54.59865542,2.87504618
"93",24,6644.404658,33613.00933,40257.41399,2390.363953,2.821889582,55.63005587,2.875377919
"94",24.25,6643.102199,33618.18484,40261.28704,2390.258338,2.825615702,56.69858326,2.875703688
"95",24.5,6641.90369,33623.33543,40265.23912,2390.152709,2.829209065,57.80623364,2.876029457
"96",24.75,6640.814506,33628.46121,40269.27572,2390.047066,2.832674429,58.95516297,2.876355226
"97",25,6639.837722,33633.56233,40273.40005,2389.941409,2.836016384,60.14762633,2.876680995
"98",25.25,6638.992555,33638.63889,40277.63145,2389.835738,2.839239356,61.38540208,2.877006765
"99",25.5,6638.283128,33643.69107,40281.9742,2389.730052,2.842347611,62.67100778,2.877332534
"100",25.75,6637.723729,33648.71901,40286.44274,2389.624352,2.845345264,64.00624688,2.877658303
"101",26,6637.330995,33653.72289,40291.05389,2389.518638,2.848236282,65.39290086,2.877984072
"102",26.25,6637.114695,33658.70292,40295.81761,2389.41291,2.851024491,66.83325079,2.878309842
"103",26.5,6637.104677,33663.65929,40300.76397,2389.307168,2.853713578,68.32744111,2.878635611
"104",26.75,6637.308802,33668.59226,40305.90106,2389.201411,2.8563071,69.87789782,2.87896138
"105",27,6637.767163,33673.50208,40311.26924,2389.09564,2.858808486,71.48283899,2.879287149
"106",27.25,6638.490069,33678.38905,40316.87912,2388.989855,2.861221043,73.14351284,2.879612919
"107",27.5,6639.520056,33683.25349,40322.77355,2388.884056,2.863547958,74.85716564,2.879938688
"108",27.75,6640.872794,33688.09578,40328.96857,2388.778242,2.865792307,76.62338365,2.880264457
"109",28,6642.581989,33692.91629,40335.49828,2388.672415,2.867957052,78.43706158,2.880590226
"110",28.25,6644.661992,33697.71547,40342.37746,2388.566573,2.870045051,80.29520255,2.880915995
"111",28.5,6647.127635,33702.49375,40349.62139,2388.460717,2.87205906,82.1932267,2.881241444
"112",28.75,6649.961843,33707.25164,40357.21348,2388.354847,2.874001729,84.12507964,2.881566331
"113",29,6653.14545,33711.9896,40365.13505,2388.248963,2.875875609,86.0868685,2.881891218
"114",29.25,6656.59153,33716.70807,40373.2996,2388.143064,2.877683172,88.07243099,2.882216104
"115",29.5,6660.159815,33721.40736,40381.56718,2388.037152,2.879426798,90.07744016,2.882540991
"116",29.75,6663.751613,33726.08761,40389.83923,2387.931225,2.881108784,92.09853709,2.882860464
"117",30,6667.366545,33730.74923,40398.11577,2387.825285,2.882731242,94.13451918,2.883178733
"118",30.25,6671.004532,33735.39232,40406.39685,2387.719331,2.884296287,96.18414424,2.883497002
"119",30.5,6674.665577,33740.0169,40414.68248,2387.613363,2.885805983,98.24613323,2.883815271
"120",30.75,6678.349686,33744.623,40422.97269,2387.507381,2.88726232,100.3191733,2.884133541
"121",31,6682.056864,33749.21064,40431.2675,2387.401386,2.888667213,102.4019207,2.88445181
"122",31.25,6685.787115,33753.77983,40439.56694,2387.295377,2.890022513,104.4930044,2.884770079
"123",31.5,6689.540444,33758.3306,40447.87105,2387.189354,2.891330002,106.5910295,2.885088348
"124",31.75,6693.316856,33762.86298,40456.17984,2387.083318,2.892591399,108.6945807,2.885406618
"125",32,6697.116357,33767.37698,40464.49334,2386.977267,2.893808361,110.802226,2.885724887
"126",32.25,6700.938949,33771.87263,40472.81158,2386.871203,2.894982485,112.9125209,2.886043156
"127",32.5,6704.784639,33776.34995,40481.13459,2386.765126,2.896115311,115.024012,2.886361425
"128",32.75,6708.653431,33780.80896,40489.46239,2386.659034,2.897208325,117.1352411,2.886679695
"129",33,6712.545329,33785.24968,40497.79501,2386.552929,2.898262958,119.2447492,2.886997964
"130",33.25,6716.460338,33789.67213,40506.13247,2386.446811,2.899280589,121.3510806,2.887316233
"131",33.5,6720.398462,33794.07635,40514.47481,2386.340678,2.900262551,123.4527868,2.887634502
"132",33.75,6724.359707,33798.46234,40522.82205,2386.234532,2.901210125,125.5484307,2.887952771
"133",34,6728.344077,33802.83014,40531.17422,2386.128372,2.902124548,127.6365901,2.888271041
"134",34.25,6732.351576,33807.17976,40539.53134,2386.022199,2.903007013,129.715862,2.88858931
"135",34.5,6736.382209,33811.51124,40547.89345,2385.916011,2.903858669,131.7848661,2.888907579
"136",34.75,6740.43598,33815.82458,40556.26056,2385.809811,2.904680624,133.8422486,2.889225848
"137",35,6744.512894,33820.11982,40564.63271,2385.703596,2.905473947,135.8866852,2.889544118
"138",35.25,6748.612955,33824.39697,40573.00993,2385.597368,2.906239668,137.9168852,2.889861534
"139",35.5,6752.736106,33828.65613,40581.39224,2385.491126,2.906978763,139.9315937,2.890170425
"140",35.75,6756.881747,33832.89792,40589.77966,2385.384871,2.907692033,141.9295954,2.890479315
"141",36,6761.049881,33837.12235,40598.17224,2385.278602,2.908380407,143.9097167,2.890788205
"142",36.25,6765.240513,33841.32947,40606.56998,2385.172321,2.90904478,145.8708284,2.891097096
"143",36.5,6769.453647,33845.51927,40614.97292,2385.066027,2.909686016,147.8118482,2.891405666
"144",36.75,6773.689264,33849.69183,40623.38109,2384.959719,2.910304943,149.7317422,2.891713971
"145",37,6777.947349,33853.84716,40631.79451,2384.853398,2.910902358,151.6295275,2.892022275
"146",37.25,6782.227906,33857.9853,40640.21321,2384.747064,2.911479035,153.5042727,2.892330579
"147",37.5,6786.53094,33862.10627,40648.63721,2384.640718,2.912035721,155.3551003,2.892638883
"148",37.75,6790.856455,33866.21009,40657.06655,2384.534358,2.912573135,157.1811868,2.892947187
"149",38,6795.204455,33870.29679,40665.50125,2384.427985,2.91309197,158.9817642,2.893255492
"150",38.25,6799.574943,33874.36639,40673.94133,2384.321598,2.913592897,160.7561201,2.893563796
"151",38.5,6803.967925,33878.4189,40682.38683,2384.215199,2.914076558,162.5035983,2.8938721
"152",38.75,6808.383403,33882.45436,40690.83777,2384.108787,2.914543576,164.2235987,2.894180404
"153",39,6812.821382,33886.47279,40699.29417,2384.002362,2.914994549,165.9155773,2.894488708
"154",39.25,6817.281865,33890.47421,40707.75607,2383.895923,2.915430054,167.5790459,2.894797013
"155",39.5,6821.764857,33894.45864,40716.2235,2383.789472,2.915850649,169.2135713,2.895105317
"156",39.75,6826.270362,33898.42611,40724.69647,2383.683007,2.91625687,170.8187751,2.895413621
"157",40,6830.798383,33902.37663,40733.17502,2383.576529,2.916649234,172.3943321,2.895721925
"158",40.25,6835.348925,33906.31024,40741.65917,2383.470039,2.91702824,173.9399696,2.896030229
"159",40.5,6839.92199,33910.22696,40750.14895,2383.363535,2.917394367,175.4554664,2.896338534
"160",40.75,6844.517584,33914.1268,40758.64439,2383.257018,2.917748081,176.940651,2.896646838
"161",41,6849.135709,33918.0098,40767.14551,2383.150488,2.918089826,178.3954003,2.896951248
"162",41.25,6853.776093,33921.87625,40775.65235,2383.043945,2.918419963,179.8196381,2.897248844
"163",41.5,6858.438252,33925.72667,40784.16492,2382.93739,2.918738783,181.2133333,2.897546439
"164",41.75,6863.12219,33929.56107,40792.68326,2382.830823,2.919046694,182.5764982,2.897844035
"165",42,6867.827911,33933.37948,40801.20739,2382.724243,2.919344088,183.9091864,2.89814163
"166",42.25,6872.555419,33937.18192,40809.73734,2382.61765,2.919631344,185.2114915,2.89843653
"167",42.5,6877.304524,33940.9686,40818.27313,2382.511045,2.919908777,186.4835445,2.898730831
"168",42.75,6882.075188,33944.7396,40826.81478,2382.404428,2.92017673,187.7255122,2.899025132
"169",43,6886.867414,33948.49493,40835.36234,2382.297799,2.920435543,188.9375952,2.899319432
"170",43.25,6891.681205,33952.23461,40843.91582,2382.191158,2.920685546,190.1200258,2.899613733
"171",43.5,6896.516565,33955.95867,40852.47524,2382.084504,2.920927054,191.273066,2.899908034
"172",43.75,6901.373498,33959.66714,40861.04064,2381.977838,2.921160375,192.3970057,2.900202334
"173",44,6906.252007,33963.36003,40869.61204,2381.87116,2.921385801,193.4921605,2.900496635
"174",44.25,6911.152095,33967.03737,40878.18946,2381.76447,2.921603618,194.5588698,2.900790936
"175",44.5,6916.073765,33970.69918,40886.77294,2381.657767,2.921814097,195.5974951,2.901085237
"176",44.75,6921.017022,33974.34548,40895.3625,2381.551052,2.922017504,196.6084179,2.901379537
"177",45,6925.981868,33977.97629,40903.95816,2381.444325,2.922214092,197.5920381,2.901673838
"178",45.25,6930.968308,33981.59165,40912.55996,2381.337586,2.922404105,198.5487718,2.901968139
"179",45.5,6935.976343,33985.19156,40921.16791,2381.230835,2.922587781,199.4790504,2.902262439
"180",45.75,6941.005978,33988.77607,40929.78204,2381.124071,2.922765347,200.3833179,2.90255674
"181",46,6946.057216,33992.34517,40938.40239,2381.017295,2.922937022,201.2620301,2.902851041
"182",46.25,6951.13006,33995.89891,40947.02897,2380.910507,2.923103017,202.115653,2.903145341
"183",46.5,6956.224514,33999.43731,40955.66182,2380.803707,2.923263536,202.9446608,2.903439642
"184",46.75,6961.34058,34002.96038,40964.30096,2380.696894,2.923418776,203.749535,2.903729224
"185",47,6966.477924,34006.46849,40972.94641,2380.59007,2.92356884,204.530763,2.90401611
"186",47.25,6971.636358,34009.96185,40981.5982,2380.483234,2.923713864,205.2888367,2.904302997
"187",47.5,6976.815883,34013.44048,40990.25636,2380.376386,2.923854029,206.0242514,2.904589883
"188",47.75,6982.016503,34016.90441,40998.92092,2380.269526,2.92398951,206.7375046,2.904876297
"189",48,6987.238188,34020.3537,41007.59189,2380.162655,2.924120465,207.4290951,2.905157993
