"","year","mean_msl","mean_mm","slr_rate"
"1","2011",0.103666666666667,103.666666666667,2.63927240850318
"2","2012",0.0556666666666667,55.6666666666667,2.63927240850318
"3","2013",0.112,112,2.63927240850318
"4","2014",0.0426666666666667,42.6666666666667,2.63927240850318
"5","2015",0.0166666666666667,16.6666666666667,2.63927240850318
"6","2016",0.111333333333333,111.333333333333,2.63927240850318
"7","2017",0.089,89,2.63927240850318
"8","2018",0.105333333333333,105.333333333333,2.63927240850318
"9","2019",0.0893333333333333,89.3333333333333,2.63927240850318
"10","2020",0.137,137,2.63927240850318
"11","2011",0.135666666666667,135.666666666667,2.63927240850318
"12","2012",0.117333333333333,117.333333333333,2.63927240850318
"13","2013",0.0756666666666667,75.6666666666667,2.63927240850318
"14","2014",0.105,105,2.63927240850318
"15","2015",0.032,32,2.63927240850318
"16","2016",0.0956666666666667,95.6666666666667,2.63927240850318
"17","2017",0.150666666666667,150.666666666667,2.63927240850318
"18","2018",0.102666666666667,102.666666666667,2.63927240850318
"19","2019",0.129,129,2.63927240850318
"20","2020",0.13,130,2.63927240850318
"21","2011",0.134333333333333,134.333333333333,2.63927240850318
"22","2012",0.0906666666666667,90.6666666666667,2.63927240850318
"23","2013",0.119666666666667,119.666666666667,2.63927240850318
"24","2014",0.0936666666666667,93.6666666666667,2.63927240850318
"25","2015",0.117333333333333,117.333333333333,2.63927240850318
"26","2016",0.0923333333333333,92.3333333333333,2.63927240850318
"27","2018",0.119,119,2.63927240850318
"28","2019",0.141,141,2.63927240850318
"29","2020",0.13,130,2.63927240850318
"30","2011",0.094,94,2.63927240850318
"31","2012",0.131666666666667,131.666666666667,2.63927240850318
"32","2013",0.0523333333333333,52.3333333333333,2.63927240850318
"33","2014",0.123333333333333,123.333333333333,2.63927240850318
"34","2015",0.082,82,2.63927240850318
"35","2016",0.100666666666667,100.666666666667,2.63927240850318
"36","2017",0.073,73,2.63927240850318
"37","2018",0.123,123,2.63927240850318
"38","2019",0.161666666666667,161.666666666667,2.63927240850318
"39","2020",0.0983333333333333,98.3333333333333,2.63927240850318
